20240225;BRV1;;;0;0;0;0;0;0;0;0*
20240225;BRV;0;0;0;0;0;0;0;0;0;0*
20240226;BRV1;0;914;0;0;9038;-9038;0;0;0;0*
20240226;BRV;0;0;0;0;0;0;0;0;0;0*
20240227;BRV1;0;914;0;0;10866;-10866;0;0;0;0*
20240227;BRV;0;0;0;0;0;0;0;0;0;0*
20240228;BRV1;0;914;0;0;11780;-11780;0;0;0;0*
20240228;BRV;0;0;0;0;0;0;0;0;0;0*
20240229;BRV1;0;914;0;0;11780;-11780;0;0;0;0*
20240229;BRV;0;0;0;0;0;0;0;0;0;0*
20240301;BRV1;;;0;;;0;0;0;0;0*
20240301;BRV;0;0;0;0;0;0;0;0;0;0*
20240302;BRV1;;;0;0;0;0;0;0;0;0*
20240302;BRV;0;0;0;0;0;0;0;0;0;0*
