20230321;BRV1;0;914;0;0;6296;-6296;0;0;0;0*
20230321;BRV;0;0;0;0;0;0;0;0;0;0*
20230322;BRV1;0;914;0;0;7210;-7210;0;0;0;0*
20230322;BRV;0;0;0;0;0;0;0;0;0;0*
20230323;BRV1;0;914;0;0;8124;-8124;0;0;0;0*
20230323;BRV;0;0;0;0;0;0;0;0;0;0*
20230324;BRV1;0;914;0;0;9038;-9038;0;0;0;0*
20230324;BRV;0;0;0;0;0;0;0;0;0;0*
20230325;BRV1;0;914;0;0;9952;-9952;0;0;0;0*
20230325;BRV;0;0;0;0;0;0;0;0;0;0*
20230326;BRV1;0;914;0;0;10866;-10866;0;0;0;0*
20230326;BRV;0;0;0;0;0;0;0;0;0;0*
20230327;BRV1;0;914;0;0;11780;-11780;0;0;0;0*
20230327;BRV;0;0;0;0;0;0;0;0;0;0*
